(-64, 0)
(-63, -nan)
(-62, 0)
(-61, -nan)
(-60, 0)
(-59, -nan)
(-58, 0)
(-57, -nan)
(-56, 0)
(-55, -nan)
(-54, 0)
(-53, -nan)
(-52, 0)
(-51, -nan)
(-50, 0)
(-49, -nan)
(-48, 0)
(-47, -nan)
(-46, 0)
(-45, -nan)
(-44, 0)
(-43, -nan)
(-42, 0)
(-41, -nan)
(-40, 0)
(-39, -nan)
(-38, 0)
(-37, -nan)
(-36, 0)
(-35, -nan)
(-34, 0)
(-33, -nan)
(-32, 0)
(-31, -nan)
(-30, 0)
(-29, -nan)
(-28, 0)
(-27, -nan)
(-26, 0)
(-25, -nan)
(-24, 0)
(-23, -nan)
(-22, 0)
(-21, -nan)
(-20, 0)
(-19, -nan)
(-18, 0)
(-17, -nan)
(-16, 0)
(-15, -nan)
(-14, 0)
(-13, -nan)
(-12, 0)
(-11, -nan)
(-10, 0)
(-9, -nan)
(-8, 0)
(-7, -nan)
(-6, 0)
(-5, -nan)
(-4, 0)
(-3, -nan)
(-2, 0)
(-1, -nan)
(0, 0)
(1, -nan)
(2, 0)
(3, -nan)
(4, 0)
(5, -nan)
(6, 0)
(7, -nan)
(8, 0)
(9, -nan)
(10, 0)
(11, -nan)
(12, 0)
(13, -nan)
(14, 0)
(15, -nan)
(16, 0)
(17, -nan)
(18, 0)
(19, -nan)
(20, 0)
(21, -nan)
(22, 0)
(23, -nan)
(24, 0)
(25, -nan)
(26, 0)
(27, -nan)
(28, 0)
(29, -nan)
(30, 0)
(31, -nan)
(32, 0)
(33, -nan)
(34, 0)
(35, -nan)
(36, 0)
(37, -nan)
(38, 0)
(39, -nan)
(40, 0)
(41, -nan)
(42, 0)
(43, -nan)
(44, 0)
(45, -nan)
(46, 0)
(47, -nan)
(48, 0)
(49, 0)
(50, 0)
(51, -nan)
(52, 0)
(53, -nan)
(54, 0)
(55, -nan)
(56, 0)
(57, -nan)
(58, 0)
(59, -nan)
(60, 0)
(61, -nan)
(62, 0)
(63, -nan)
